cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Neutrophil,GO:1905897,regulation of response to endoplasmic reticulum stress,5/150,79/28891,5.837063809536209e-5,0.0033854970095310013,0.002809037725344956,Xbp1/Pdia6/Herpud1/Manf/Selenos,5
Neutrophil,GO:1903573,negative regulation of response to endoplasmic reticulum stress,4/150,41/28891,6.0875239963066306e-5,0.0034393759204315315,0.0028537425036667236,Xbp1/Pdia6/Herpud1/Selenos,4
Neutrophil,GO:0072593,reactive oxygen species metabolic process,8/150,257/28891,6.234058918554058e-5,0.0034393759204315315,0.0028537425036667236,Rhoa/Prdx4/Plcg2/Foxo3/Hbb-b1/Atp5if1/Hba-a1/Hbb-bt,8
Neutrophil,GO:0002335,mature B cell differentiation,4/150,43/28891,7.358852183073676e-5,0.0038904116691478494,0.0032279789688168907,Xbp1/Cd19/Pou2af1/Plcg2,4
Neutrophil,GO:0034620,cellular response to unfolded protein,5/150,83/28891,7.395565949308467e-5,0.0038904116691478494,0.0032279789688168907,Derl3/Xbp1/Pdia6/Herpud1/Selenos,5
Neutrophil,GO:0018279,protein N-linked glycosylation via asparagine,3/150,18/28891,1.0571026325049157e-4,0.00535842779159335,0.004446031342738584,Derl3/Rpn1/Ost4,3
Neutrophil,GO:0002757,immune response-activating signaling pathway,10/150,440/28891,1.0660002237917805e-4,0.00535842779159335,0.004446031342738584,Cd79a/Hspa8/Irf4/Slc15a2/Cd22/Cd19/Plcg2/Cd79b/Blnk/Irgm2,10
Neutrophil,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,3/150,19/28891,1.2505350263789967e-4,0.006018532403551682,0.004993737854498884,Srp9/Tram2/Sec61b,3
Neutrophil,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,3/150,19/28891,1.2505350263789967e-4,0.006018532403551682,0.004993737854498884,Xbp1/Herpud1/Selenos,3
Neutrophil,GO:0002764,immune response-regulating signaling pathway,10/150,450/28891,1.2801930961608363e-4,0.006032909965657941,0.005005667303628884,Cd79a/Hspa8/Irf4/Slc15a2/Cd22/Cd19/Plcg2/Cd79b/Blnk/Irgm2,10
Neutrophil,GO:0006613,cotranslational protein targeting to membrane,3/150,20/28891,1.4656234588244862e-4,0.006765796456859158,0.005613762893843306,Srp9/Tram2/Sec61b,3
Neutrophil,GO:0002312,B cell activation involved in immune response,5/150,98/28891,1.6252201283462278e-4,0.007352495860638335,0.006100563134402789,Xbp1/Tfrc/Cd19/Pou2af1/Plcg2,5
Neutrophil,GO:0035967,cellular response to topologically incorrect protein,5/150,104/28891,2.1466496154099062e-4,0.009337925827033092,0.007747927660477456,Derl3/Xbp1/Pdia6/Herpud1/Selenos,5
Neutrophil,GO:0042274,ribosomal small subunit biogenesis,5/150,104/28891,2.1466496154099062e-4,0.009337925827033092,0.007747927660477456,Rps24/Rps3a1/Rps8/Rps7/Rps28,5
Neutrophil,GO:0070861,regulation of protein exit from endoplasmic reticulum,3/150,23/28891,2.2509966666648572e-4,0.00960708388678473,0.00797125532604457,Derl3/Edem1/Edem2,3
Neutrophil,GO:0042743,hydrogen peroxide metabolic process,4/150,58/28891,2.3816839167587264e-4,0.009976609295755997,0.008277860474816393,Prdx4/Hbb-b1/Hba-a1/Hbb-bt,4
Neutrophil,GO:0034101,erythrocyte homeostasis,6/150,168/28891,2.5340347223939345e-4,0.010421793712827417,0.00864724193306868,Rps24/Foxo3/Hbb-b1/Atp5if1/Hba-a2/Hba-a1,6
Neutrophil,GO:0006826,iron ion transport,4/150,60/28891,2.7154724730596273e-4,0.010968569167965852,0.009100916202002473,Tfrc/Fth1/Iscu/Slc25a37,4
Neutrophil,GO:0042254,ribosome biogenesis,8/150,322/28891,2.9195115761097916e-4,0.011585851202035698,0.009613091671659758,Rpl10/Mrm1/Rps24/Rps3a1/Trmt112/Rps8/Rps7/Rps28,8
Neutrophil,GO:0030183,B cell differentiation,6/150,182/28891,3.887656040080283e-4,0.015020702882746666,0.012463080292213368,Cd79a/Xbp1/Cd19/Pou2af1/Plcg2/Cd79b,6
Neutrophil,GO:0061077,chaperone-mediated protein folding,4/150,66/28891,3.917866799655408e-4,0.015020702882746666,0.012463080292213368,Fkbp11/Hspb1/Hspa8/Bag1,4
Neutrophil,GO:0050851,antigen receptor-mediated signaling pathway,6/150,184/28891,4.119912105424369e-4,0.015388739266258469,0.012768449956600519,Cd79a/Cd22/Cd19/Plcg2/Cd79b/Blnk,6
Neutrophil,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,4/150,67/28891,4.1499252663208076e-4,0.015388739266258469,0.012768449956600519,Xbp1/Herpud1/Selenok/Selenos,4
Neutrophil,GO:0042100,B cell proliferation,5/150,123/28891,4.6614441894553277e-4,0.017006752833141858,0.014110959235651699,Cd79a/Tfrc/Mzb1/Cd22/Cd19,5
Neutrophil,GO:2001233,regulation of apoptotic signaling pathway,9/150,437/28891,4.847955179990532e-4,0.01740646764625172,0.014442613343229941,Hspb1/Ubb/Xbp1/Herpud1/S100a8/Rps7/Eno1/Ppia/Selenos,9
Neutrophil,GO:0022613,ribonucleoprotein complex biogenesis,9/150,440/28891,5.091704434448503e-4,0.017995992860503927,0.014931758234575133,Rpl10/Mrm1/Rps24/Rps3a1/Ago2/Trmt112/Rps8/Rps7/Rps28,9
Neutrophil,GO:0006612,protein targeting to membrane,5/150,126/28891,5.203686773103749e-4,0.018108829970401044,0.015025382212864752,Srp9/Nacad/Tram2/Sec61b/Irgm2,5
Neutrophil,GO:1902235,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,3/150,31/28891,5.542082647375449e-4,0.01899422870964131,0.015760021308246292,Xbp1/Herpud1/Selenos,3
Neutrophil,GO:0007159,leukocyte cell-cell adhesion,9/150,447/28891,5.699813151725092e-4,0.019243249774928594,0.015966640769090087,Hspb1/Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok/S100a8,9
Neutrophil,GO:0006879,intracellular iron ion homeostasis,4/150,74/28891,6.057251425722983e-4,0.019909656605105557,0.016519576400438926,Tfrc/Fth1/Iscu/Ftl1,4
Neutrophil,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,9/150,451/28891,6.073237425960581e-4,0.019909656605105557,0.016519576400438926,Derl3/Hsp90b1/Rnf187/Edem1/Herpud1/Edem2/Socs4/Sec61b/Selenos,9
Neutrophil,GO:0050870,positive regulation of T cell activation,7/150,277/28891,6.333118271764003e-4,0.020282391115309096,0.016828844226625773,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,7
Neutrophil,GO:0050867,positive regulation of cell activation,9/150,454/28891,6.366267768288885e-4,0.020282391115309096,0.016828844226625773,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Acta2/Smarce1/Selenok/Jund,9
Neutrophil,GO:1901798,positive regulation of signal transduction by p53 class mediator,3/150,33/28891,6.676030471138132e-4,0.02097386239682563,0.017402576505905393,Ubb/Rps20/Rps7,3
Neutrophil,GO:0046034,ATP metabolic process,5/150,135/28891,7.116980315870878e-4,0.02205288969109579,0.018297874409802132,Hspa8/Cox11/Atp5if1/Eno1/Ndufb1,5
Neutrophil,GO:0002313,mature B cell differentiation involved in immune response,3/150,34/28891,7.294347400529516e-4,0.022297045702699685,0.018500457205041433,Xbp1/Pou2af1/Plcg2,3
Neutrophil,GO:1990266,neutrophil migration,5/150,138/28891,7.85862199918959e-4,0.023701603949555804,0.019665856876568476,Pf4/Ccl5/Selenok/S100a8/Ppia,5
Neutrophil,GO:0042168,heme metabolic process,3/150,36/28891,8.637659190346767e-4,0.02542982915324617,0.0210998117084266,Cpox/Hebp1/Atp5if1,3
Neutrophil,GO:0062207,regulation of pattern recognition receptor signaling pathway,5/150,141/28891,8.656484725021906e-4,0.02542982915324617,0.0210998117084266,Hspa8/Irf4/Slc15a2/Plcg2/Irgm2,5
Neutrophil,GO:0002262,myeloid cell homeostasis,6/150,215/28891,9.30925407734589e-4,0.026316995023146904,0.021835917039541592,Rps24/Foxo3/Hbb-b1/Atp5if1/Hba-a2/Hba-a1,6
Neutrophil,GO:0006364,rRNA processing,6/150,215/28891,9.30925407734589e-4,0.026316995023146904,0.021835917039541592,Mrm1/Rps24/Trmt112/Rps8/Rps7/Rps28,6
Neutrophil,GO:2000406,positive regulation of T cell migration,3/150,37/28891,9.364205953721259e-4,0.026316995023146904,0.021835917039541592,Rhoa/Ccl5/Selenok,3
Neutrophil,GO:0030099,myeloid cell differentiation,9/150,480/28891,9.423857634283374e-4,0.026316995023146904,0.021835917039541592,Nme2/Irf4/Tfrc/Ccl5/Foxo3/Hbb-b1/Atp5if1/Hba-a2/Hba-a1,9
Neutrophil,GO:0043122,regulation of canonical NF-kappaB signal transduction,6/150,217/28891,9.764736445473757e-4,0.026936382731294683,0.02234983964349128,Hspb1/Rhoa/Tfrc/Plcg2/Gapdh/Irgm2,6
Neutrophil,GO:0006979,response to oxidative stress,8/150,389/28891,0.0010061503361118668,0.027420627232349913,0.02275163030167988,Hspb1/Xbp1/Prdx4/Trp53inp1/Selenok/Foxo3/Ppia/Selenos,8
Neutrophil,GO:1903039,positive regulation of leukocyte cell-cell adhesion,7/150,303/28891,0.0010687261132412509,0.02861197564424311,0.023740124051228755,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,7
Neutrophil,GO:0050864,regulation of B cell activation,5/150,148/28891,0.0010751626568349533,0.02861197564424311,0.023740124051228755,Xbp1/Tfrc/Mzb1/Cd22/Cd19,5
Neutrophil,GO:1900225,regulation of NLRP3 inflammasome complex assembly,3/150,39/28891,0.0010930850761614573,0.028750679561362978,0.023855210413658245,Hspa8/Plcg2/Irgm2,3
Neutrophil,GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation",2/150,10/28891,0.0011724928425139378,0.02979976190748907,0.024725662190447677,Tram2/Sec61b,2
Neutrophil,GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,2/150,10/28891,0.0011724928425139378,0.02979976190748907,0.024725662190447677,Ubb/Rps7,2
Neutrophil,GO:2000109,regulation of macrophage apoptotic process,2/150,10/28891,0.0011724928425139378,0.02979976190748907,0.024725662190447677,Ccl5/Selenos,2
Neutrophil,GO:0032496,response to lipopolysaccharide,8/150,401/28891,0.0012207910907707142,0.030449780278828414,0.0252649998776821,Rhoa/Slpi/Xbp1/Pf4/Plcg2/S100a8/Irgm2/Selenos,8
Neutrophil,GO:0002285,lymphocyte activation involved in immune response,6/150,227/28891,0.0012304964128500892,0.030449780278828414,0.0252649998776821,Xbp1/Irf4/Tfrc/Cd19/Pou2af1/Plcg2,6
Neutrophil,GO:0072331,signal transduction by p53 class mediator,5/150,153/28891,0.001246320948929658,0.030449780278828414,0.0252649998776821,Ubb/Rbm38/Rps20/Foxo3/Rps7,5
Neutrophil,GO:0001738,morphogenesis of a polarized epithelium,4/150,90/28891,0.0012616328956191279,0.030449780278828414,0.0252649998776821,Ift20/Rhoa/Sapcd2/Actb,4
Neutrophil,GO:0141085,regulation of inflammasome-mediated signaling pathway,3/150,41/28891,0.0012653754846197484,0.030449780278828414,0.0252649998776821,Hspa8/Plcg2/Irgm2,3
Neutrophil,GO:1903037,regulation of leukocyte cell-cell adhesion,8/150,407/28891,0.0013410203315954805,0.030796233652266733,0.025552461539388335,Hspb1/Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,8
Neutrophil,GO:0018208,peptidyl-proline modification,3/150,42/28891,0.0013575572484442538,0.030796233652266733,0.025552461539388335,Fkbp11/Prdx4/Ppia,3
Neutrophil,GO:0044546,NLRP3 inflammasome complex assembly,3/150,42/28891,0.0013575572484442538,0.030796233652266733,0.025552461539388335,Hspa8/Plcg2/Irgm2,3
Neutrophil,GO:0030218,erythrocyte differentiation,5/150,156/28891,0.0013582258578901888,0.030796233652266733,0.025552461539388335,Foxo3/Hbb-b1/Atp5if1/Hba-a2/Hba-a1,5
Neutrophil,GO:0031647,regulation of protein stability,7/150,316/28891,0.001360447737407996,0.030796233652266733,0.025552461539388335,Hspa8/Xbp1/Pim1/Bag1/Gapdh/Rps7/Irgm2,7
Neutrophil,GO:0039531,regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway,4/150,92/28891,0.0013686306043228444,0.030796233652266733,0.025552461539388335,Hspa8/Slc15a2/Plcg2/Irgm2,4
Neutrophil,GO:1903050,regulation of proteolysis involved in protein catabolic process,6/150,232/28891,0.001375074977400062,0.030796233652266733,0.025552461539388335,Ubb/Herpud1/Gabarapl2/Socs4/Atp5if1/Rps7,6
Neutrophil,GO:0050863,regulation of T cell activation,8/150,411/28891,0.0014262801171560995,0.031024715004253665,0.025742038648882817,Hspb1/Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,8
Neutrophil,GO:1904587,response to glycoprotein,2/150,11/28891,0.0014281682260478316,0.031024715004253665,0.025742038648882817,Edem1/Edem2,2
Neutrophil,GO:0006778,porphyrin-containing compound metabolic process,3/150,43/28891,0.001453854902940269,0.031024715004253665,0.025742038648882817,Cpox/Hebp1/Atp5if1,3
Neutrophil,GO:0042832,defense response to protozoan,3/150,43/28891,0.001453854902940269,0.031024715004253665,0.025742038648882817,Irf4/Pf4/Irgm2,3
Neutrophil,GO:2000403,positive regulation of lymphocyte migration,3/150,43/28891,0.001453854902940269,0.031024715004253665,0.025742038648882817,Rhoa/Ccl5/Selenok,3
Neutrophil,GO:0002237,response to molecule of bacterial origin,8/150,421/28891,0.0016583796425568825,0.034748177900578506,0.028831495740486518,Rhoa/Slpi/Xbp1/Pf4/Plcg2/S100a8/Irgm2/Selenos,8
Neutrophil,GO:0140632,canonical inflammasome complex assembly,3/150,45/28891,0.001659064196844597,0.034748177900578506,0.028831495740486518,Hspa8/Plcg2/Irgm2,3
Neutrophil,GO:0046166,glyceraldehyde-3-phosphate biosynthetic process,2/150,12/28891,0.0017079698753437232,0.03480565637862614,0.028879187176271776,Gapdh/Eno1,2
Neutrophil,GO:0070863,positive regulation of protein exit from endoplasmic reticulum,2/150,12/28891,0.0017079698753437232,0.03480565637862614,0.028879187176271776,Edem1/Edem2,2
Neutrophil,GO:0071888,macrophage apoptotic process,2/150,12/28891,0.0017079698753437232,0.03480565637862614,0.028879187176271776,Ccl5/Selenos,2
Neutrophil,GO:0034599,cellular response to oxidative stress,6/150,243/28891,0.0017385960282348325,0.035113430498814206,0.029134555623521678,Hspb1/Xbp1/Trp53inp1/Foxo3/Ppia/Selenos,6
Neutrophil,GO:0097530,granulocyte migration,5/150,167/28891,0.0018326815342322095,0.03668606752595804,0.030439414769781365,Pf4/Ccl5/Selenok/S100a8/Ppia,5
Neutrophil,GO:0141084,inflammasome-mediated signaling pathway,3/150,47/28891,0.0018815224987408332,0.03733336747501548,0.030976496909094237,Hspa8/Plcg2/Irgm2,3
Neutrophil,GO:0002696,positive regulation of leukocyte activation,8/150,432/28891,0.0019472504091109506,0.03786859892126631,0.031420592804047576,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok/Jund,8
Neutrophil,GO:0001562,response to protozoan,3/150,48/28891,0.0019993764308732483,0.03786859892126631,0.031420592804047576,Irf4/Pf4/Irgm2,3
Neutrophil,GO:0050688,regulation of defense response to virus,4/150,102/28891,0.001999988513174273,0.03786859892126631,0.031420592804047576,Hspa8/Ccl5/Selenok/Irgm2,4
Neutrophil,GO:0006880,intracellular sequestering of iron ion,2/150,13/28891,0.0020116437441538497,0.03786859892126631,0.031420592804047576,Fth1/Ftl1,2
Neutrophil,GO:1900102,negative regulation of endoplasmic reticulum unfolded protein response,2/150,13/28891,0.0020116437441538497,0.03786859892126631,0.031420592804047576,Xbp1/Pdia6,2
Neutrophil,GO:2000672,negative regulation of motor neuron apoptotic process,2/150,13/28891,0.0020116437441538497,0.03786859892126631,0.031420592804047576,Rhoa/Bag1,2
Neutrophil,GO:0030217,T cell differentiation,7/150,339/28891,0.002025685441853768,0.03786859892126631,0.031420592804047576,Hspb1/Rhoa/Xbp1/Irf4/Rpl22/Actb/Smarce1,7
Neutrophil,GO:0000041,transition metal ion transport,4/150,103/28891,0.0020725054313603586,0.038071500033655704,0.031588945302251446,Tfrc/Fth1/Iscu/Slc25a37,4
Neutrophil,GO:0016072,rRNA metabolic process,6/150,252/28891,0.002086800717167331,0.038071500033655704,0.031588945302251446,Mrm1/Rps24/Trmt112/Rps8/Rps7/Rps28,6
Neutrophil,GO:0048821,erythrocyte development,3/150,49/28891,0.00212172768251493,0.038071500033655704,0.031588945302251446,Hbb-b1/Hba-a2/Hba-a1,3
Neutrophil,GO:0097529,myeloid leukocyte migration,6/150,253/28891,0.0021285161708435485,0.038071500033655704,0.031588945302251446,B4galt1/Pf4/Ccl5/Selenok/S100a8/Ppia,6
Neutrophil,GO:2001234,negative regulation of apoptotic signaling pathway,6/150,253/28891,0.0021285161708435485,0.038071500033655704,0.031588945302251446,Hspb1/Xbp1/Herpud1/Eno1/Ppia/Selenos,6
Neutrophil,GO:0032675,regulation of interleukin-6 production,5/150,173/28891,0.0021375245376986183,0.038071500033655704,0.031588945302251446,Xbp1/Pou2af1/Plcg2/Selenok/Selenos,5
Neutrophil,GO:0009150,purine ribonucleotide metabolic process,7/150,345/28891,0.0022348952831188085,0.03912625322473497,0.03246410233128692,Rhoa/Hspa8/Cox11/Nme2/Atp5if1/Eno1/Ndufb1,7
Neutrophil,GO:1902459,positive regulation of stem cell population maintenance,3/150,50/28891,0.0022486352428008607,0.03912625322473497,0.03246410233128692,Actb/Smarce1/Rbbp4,3
Neutrophil,GO:1903426,regulation of reactive oxygen species biosynthetic process,3/150,50/28891,0.0022486352428008607,0.03912625322473497,0.03246410233128692,Rhoa/Plcg2/Foxo3,3
Neutrophil,GO:0097577,sequestering of iron ion,2/150,14/28891,0.002338937743224344,0.04021252642058889,0.03336541235418586,Fth1/Ftl1,2
Neutrophil,GO:0007249,canonical NF-kappaB signal transduction,6/150,258/28891,0.0023466195789203065,0.04021252642058889,0.03336541235418586,Hspb1/Rhoa/Tfrc/Plcg2/Gapdh/Irgm2,6
Neutrophil,GO:2000404,regulation of T cell migration,3/150,51/28891,0.00238015683008273,0.04048056202742207,0.033587808690443276,Rhoa/Ccl5/Selenok,3
Neutrophil,GO:0051348,negative regulation of transferase activity,6/150,260/28891,0.00243841924900484,0.04116197269588768,0.034153193409078006,Hspb1/Cox11/Actb/Socs4/Rps7/Ppia,6
Neutrophil,GO:0033013,tetrapyrrole metabolic process,3/150,52/28891,0.0025163489060669175,0.04216282389276569,0.03498362650695761,Cpox/Hebp1/Atp5if1,3
Neutrophil,GO:1903706,regulation of hemopoiesis,8/150,452/28891,0.002573102324359918,0.042591225167414856,0.0353390825415332,Hspb1/Rhoa/Xbp1/Nme2/Actb/Ccl5/Smarce1/Foxo3,8
Neutrophil,GO:0022409,positive regulation of cell-cell adhesion,7/150,354/28891,0.002579574645418141,0.042591225167414856,0.0353390825415332,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,7
Neutrophil,GO:0030593,neutrophil chemotaxis,4/150,110/28891,0.002631688251106573,0.042844219060388225,0.03554899836412686,Pf4/Ccl5/S100a8/Ppia,4
Neutrophil,GO:0032635,interleukin-6 production,5/150,182/28891,0.002661955075663002,0.042844219060388225,0.03554899836412686,Xbp1/Pou2af1/Plcg2/Selenok/Selenos,5
Neutrophil,GO:0006517,protein deglycosylation,2/150,15/28891,0.0026896017270447072,0.042844219060388225,0.03554899836412686,Edem1/Edem2,2
Neutrophil,GO:0015670,carbon dioxide transport,2/150,15/28891,0.0026896017270447072,0.042844219060388225,0.03554899836412686,Hbb-b1/Hba-a1,2
Neutrophil,GO:1900226,negative regulation of NLRP3 inflammasome complex assembly,2/150,15/28891,0.0026896017270447072,0.042844219060388225,0.03554899836412686,Hspa8/Irgm2,2
Neutrophil,GO:0016485,protein processing,6/150,266/28891,0.0027300803474858875,0.04318490731477677,0.03583167655183907,H13/Hsp90b1/Spcs1/Sec11c/Spcs2/Eno1,6
Neutrophil,GO:0009991,response to extracellular stimulus,8/150,460/28891,0.00286358993347545,0.044627349587398134,0.03702850961623662,Xbp1/Tfrc/Pim1/Gabarapl2/Slc16a1/Prr5/Nenf/Foxo3,8
Neutrophil,GO:0002637,regulation of immunoglobulin production,4/150,113/28891,0.0029001858485179157,0.044627349587398134,0.03702850961623662,Xbp1/Tfrc/Mzb1/Cd22,4
Neutrophil,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,4/150,113/28891,0.0029001858485179157,0.044627349587398134,0.03702850961623662,Cox11/Nme2/Eno1/Ndufb1,4
Neutrophil,GO:0032755,positive regulation of interleukin-6 production,4/150,113/28891,0.0029001858485179157,0.044627349587398134,0.03702850961623662,Xbp1/Pou2af1/Plcg2/Selenok,4
Neutrophil,GO:1902105,regulation of leukocyte differentiation,7/150,363/28891,0.002963801455003813,0.04507610738850487,0.037400856007121876,Hspb1/Rhoa/Xbp1/Nme2/Actb/Ccl5/Smarce1,7
Neutrophil,GO:0000045,autophagosome assembly,4/150,114/28891,0.002993692675135922,0.04507610738850487,0.037400856007121876,Ift20/Trp53inp1/Gabarapl2/Irgm2,4
Neutrophil,GO:0009145,purine nucleoside triphosphate biosynthetic process,4/150,114/28891,0.002993692675135922,0.04507610738850487,0.037400856007121876,Cox11/Nme2/Eno1/Ndufb1,4
Neutrophil,GO:0009259,ribonucleotide metabolic process,7/150,364/28891,0.003009059334953243,0.04507610738850487,0.037400856007121876,Rhoa/Hspa8/Cox11/Nme2/Atp5if1/Eno1/Ndufb1,7
Neutrophil,GO:0019682,glyceraldehyde-3-phosphate metabolic process,2/150,16/28891,0.0030633874806806267,0.04529008157712142,0.037578396133839405,Gapdh/Eno1,2
Neutrophil,GO:0141086,negative regulation of inflammasome-mediated signaling pathway,2/150,16/28891,0.0030633874806806267,0.04529008157712142,0.037578396133839405,Hspa8/Irgm2,2
Neutrophil,GO:0051251,positive regulation of lymphocyte activation,7/150,367/28891,0.003148016116338073,0.04623904191660209,0.038365773994742204,Rhoa/Xbp1/Tfrc/Actb/Ccl5/Smarce1/Selenok,7
Neutrophil,GO:0045580,regulation of T cell differentiation,5/150,190/28891,0.0032013726850550067,0.04671938718448016,0.03876432935452005,Hspb1/Rhoa/Xbp1/Actb/Smarce1,5
Neutrophil,GO:0009201,ribonucleoside triphosphate biosynthetic process,4/150,118/28891,0.003388334763728684,0.04831253194155636,0.0400862043146703,Cox11/Nme2/Eno1/Ndufb1,4
Neutrophil,GO:0019693,ribose phosphate metabolic process,7/150,373/28891,0.0034406175654218907,0.04831253194155636,0.0400862043146703,Rhoa/Hspa8/Cox11/Nme2/Atp5if1/Eno1/Ndufb1,7
Neutrophil,GO:0006735,NADH regeneration,2/150,17/28891,0.0034600487066897127,0.04831253194155636,0.0400862043146703,Gapdh/Eno1,2
Neutrophil,GO:0018119,peptidyl-cysteine S-nitrosylation,2/150,17/28891,0.0034600487066897127,0.04831253194155636,0.0400862043146703,S100a8/Gapdh,2
Neutrophil,GO:0050855,regulation of B cell receptor signaling pathway,2/150,17/28891,0.0034600487066897127,0.04831253194155636,0.0400862043146703,Cd22/Cd19,2
Neutrophil,GO:0061621,canonical glycolysis,2/150,17/28891,0.0034600487066897127,0.04831253194155636,0.0400862043146703,Gapdh/Eno1,2
Neutrophil,GO:0061718,glucose catabolic process to pyruvate,2/150,17/28891,0.0034600487066897127,0.04831253194155636,0.0400862043146703,Gapdh/Eno1,2
Neutrophil,GO:0002218,activation of innate immune response,6/150,281/28891,0.0035734163559810184,0.049589372989135364,0.04114563359841237,Hspa8/Irf4/Slc15a2/Plcg2/Irgm2/Mndal,6
Plasma cell,GO:1903039,positive regulation of leukocyte cell-cell adhesion,23/300,303/28891,1.469378087909399e-13,3.451818377105845e-10,2.7248613437301814e-10,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Lef1/Actb/Coro1a/Sash3/Thy1/H2-DMa/Smarce1/Selenok/Skap1/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,23
Plasma cell,GO:0050870,positive regulation of T cell activation,22/300,277/28891,2.0223555134050246e-13,3.451818377105845e-10,2.7248613437301814e-10,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Lef1/Actb/Coro1a/Sash3/Thy1/H2-DMa/Smarce1/Selenok/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,22
Plasma cell,GO:0030098,lymphocyte differentiation,28/300,486/28891,2.946075428539839e-13,3.451818377105845e-10,2.7248613437301814e-10,Lck/Cd3g/Il7r/Psap/Rhoa/Xbp1/Irf4/Slc39a7/Lipa/Zap70/Cr2/Lef1/Laptm5/Rpl22/Actb/Cd19/Sash3/Pou2af1/Eomes/H2-DMa/Smarce1/Cd8a/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,28
Plasma cell,GO:0045047,protein targeting to ER,11/300,45/28891,9.3475968172895935e-13,8.21420070319323e-10,6.484280318519834e-10,Srp19/Spcs1/Srp9/Hspa5/Ssr3/Sec61a1/Edem1/Spcs2/Tram2/Sec61b/Spcs3,11
Plasma cell,GO:1903037,regulation of leukocyte cell-cell adhesion,25/300,407/28891,1.436320198830717e-12,8.94158969120798e-10,7.058480325229988e-10,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Lef1/Laptm5/Actb/Coro1a/Sash3/Thy1/H2-DMa/Smarce1/Selenok/Lgals3/Skap1/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,25
Plasma cell,GO:0007159,leukocyte cell-cell adhesion,26/300,447/28891,1.7392201726209464e-12,8.94158969120798e-10,7.058480325229988e-10,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Sell/Lef1/Laptm5/Actb/Coro1a/Sash3/Thy1/H2-DMa/Smarce1/Selenok/Lgals3/Skap1/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,26
Plasma cell,GO:0050863,regulation of T cell activation,25/300,411/28891,1.7806864249916318e-12,8.94158969120798e-10,7.058480325229988e-10,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Lef1/Laptm5/Actb/Coro1a/Lat/Sash3/Thy1/H2-DMa/Smarce1/Selenok/Lgals3/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,25
Plasma cell,GO:0072599,establishment of protein localization to endoplasmic reticulum,11/300,49/28891,2.5861161315851668e-12,1.1362747753152327e-9,8.969739635340132e-10,Srp19/Spcs1/Srp9/Hspa5/Ssr3/Sec61a1/Edem1/Spcs2/Tram2/Sec61b/Spcs3,11
Plasma cell,GO:0022409,positive regulation of cell-cell adhesion,23/300,354/28891,3.717446258222338e-12,1.4518692886279464e-9,1.1461038990262087e-9,Lck/Il7r/Rhoa/Xbp1/Tfrc/Cd5/Zap70/Lef1/Actb/Coro1a/Sash3/Thy1/H2-DMa/Smarce1/Selenok/Skap1/H2-Eb1/B2m/Lgals1/H2-Ab1/Il4i1/Il4i1b/Pnp,23
Plasma cell,GO:0034976,response to endoplasmic reticulum stress,20/300,266/28891,7.0731433211235156e-12,2.477869905832543e-9,1.9560275725910263e-9,Bcl2l1/Derl3/Gorasp2/H13/Hsp90b1/Xbp1/Pdia6/Dnajc3/Sdf2l1/Hspa5/Serp1/Vcp/Edem1/Uba5/Manf/Edem2/Selenok/Bhlha15/Sec61b/Selenos,20
